candidate_id,rank,score,reasoning
CAND_0094759,13,0.8165,"Strong Senior AI Engineer matching the JD perfectly with 8.6 years of experience. Experienced in building search/retrieval with Prompt Engineering, scikit-learn, Hugging Face Transformers. Noida/Pune relocation compatible."
CAND_0070398,14,0.815,"Ideal founding member profile with 7.2 years of ML experience. Shipped Image Classification, Data Science, BM25 systems at product companies; strong availability signal (120d notice)."
CAND_0042029,15,0.8129,"Exceptional candidate with 6.5 years of experience. Currently working as a Senior Data Scientist. Shipped production systems using YOLO, PyTorch, NLP, with outstanding fit for our founding team."
CAND_0077337,16,0.8127,"Senior specialist with 7.0 years in applied ML. Experienced with Semantic Search, QLoRA, pgvector and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0061265,17,0.8111,"Strong product engineer with 6.6 years of experience. Shipped recommendation/search pipelines using Qdrant, LangChain, Learning to Rank. Stated notice period is 120 days."
CAND_0000031,18,0.8081,"Competent Recommendation Systems Engineer with 6.0 years of experience. Demonstrated production depth in MLflow, FAISS, Pinecone and strong engagement signals on the platform."
CAND_0043228,19,0.8078,"Senior specialist with 6.8 years in applied ML. Experienced with NLP, ASR, Hugging Face Transformers and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0005260,20,0.8063,"Strong product engineer with 5.2 years of experience. Shipped recommendation/search pipelines using Prompt Engineering, Information Retrieval, Speech Recognition. Stated notice period is 60 days."
CAND_0066999,21,0.8044,"Competent Recommendation Systems Engineer with 5.9 years of experience. Demonstrated production depth in Image Classification, OpenSearch, FAISS and strong engagement signals on the platform."
CAND_0081846,22,0.8044,"Senior specialist with 6.7 years in applied ML. Experienced with Data Science, Information Retrieval, LlamaIndex and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0091909,23,0.803,"Strong product engineer with 6.9 years of experience. Shipped recommendation/search pipelines using LLMs, Image Classification, Pinecone. Stated notice period is 45 days."
CAND_0066376,24,0.8022,"Competent Applied ML Engineer with 5.7 years of experience. Demonstrated production depth in Recommendation Systems, LoRA, Learning to Rank and strong engagement signals on the platform."
CAND_0068351,25,0.8017,"Senior specialist with 6.4 years in applied ML. Experienced with pgvector, Deep Learning, Qdrant and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0093193,26,0.7989,"Strong product engineer with 7.9 years of experience. Shipped recommendation/search pipelines using Ranking Systems, Text Encoders, Indexing Algorithms. Stated notice period is 45 days."
CAND_0046525,27,0.7953,"Competent Senior Machine Learning Engineer with 6.1 years of experience. Demonstrated production depth in Elasticsearch, LangChain, Machine Learning and strong engagement signals on the platform."
CAND_0027801,28,0.7947,"Senior specialist with 7.4 years in applied ML. Experienced with FAISS, Milvus, QLoRA and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0051004,29,0.7943,"Strong product engineer with 4.7 years of experience. Shipped recommendation/search pipelines using Embeddings, Semantic Search, PyTorch. Stated notice period is 15 days."
CAND_0041669,30,0.7931,"Competent Recommendation Systems Engineer with 8.0 years of experience. Demonstrated production depth in FAISS, Milvus, PEFT and strong engagement signals on the platform."
CAND_0050454,31,0.7929,"Senior specialist with 6.8 years in applied ML. Experienced with PyTorch, LangChain, QLoRA and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0006567,32,0.79,"Strong product engineer with 7.9 years of experience. Shipped recommendation/search pipelines using scikit-learn, Search Backend, Model Adaptation. Stated notice period is 60 days."
CAND_0032216,33,0.7871,"Competent ML Engineer with 6.1 years of experience. Demonstrated production depth in Time Series, Learning to Rank, Information Retrieval and strong engagement signals on the platform."
CAND_0092255,34,0.786,"Senior specialist with 5.2 years in applied ML. Experienced with Machine Learning, PyTorch, Weaviate and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0073982,35,0.7848,"Strong product engineer with 7.0 years of experience. Shipped recommendation/search pipelines using Sentence Transformers, OpenCV, RAG. Stated notice period is 60 days."
CAND_0040178,36,0.7826,"Competent ML Engineer with 5.0 years of experience. Demonstrated production depth in Weaviate, Vector Search, YOLO and strong engagement signals on the platform."
CAND_0012957,37,0.7805,"Senior specialist with 4.9 years in applied ML. Experienced with RAG, PEFT, LangChain and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0005649,38,0.7804,"Strong product engineer with 7.4 years of experience. Shipped recommendation/search pipelines using Haystack, Prompt Engineering, Deep Learning. Stated notice period is 90 days."
CAND_0037566,39,0.7803,"Competent Machine Learning Engineer with 6.9 years of experience. Demonstrated production depth in Pinecone, Time Series, LlamaIndex and strong engagement signals on the platform."
CAND_0068811,40,0.7786,"Senior specialist with 8.0 years in applied ML. Experienced with Vector Search, Speech Recognition, TTS and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0030953,41,0.7783,"Strong product engineer with 7.8 years of experience. Shipped recommendation/search pipelines using TTS, MLOps, Learning to Rank. Stated notice period is 45 days."
CAND_0069905,42,0.7782,"Competent Applied ML Engineer with 6.6 years of experience. Demonstrated production depth in LoRA, Speech Recognition, Image Classification and strong engagement signals on the platform."
CAND_0083879,43,0.778,"Senior specialist with 7.1 years in applied ML. Experienced with Fine-tuning LLMs, Milvus, Data Science and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0079064,44,0.7763,"Strong product engineer with 5.2 years of experience. Shipped recommendation/search pipelines using LlamaIndex, OpenSearch, NLP. Stated notice period is 120 days."
CAND_0006418,45,0.7733,"Competent Machine Learning Engineer with 5.7 years of experience. Demonstrated production depth in Semantic Search, Embeddings, TensorFlow and strong engagement signals on the platform."
CAND_0036121,46,0.7731,"Senior specialist with 5.2 years in applied ML. Experienced with Diffusion Models, Vector Search, Machine Learning and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0026532,47,0.7729,"Strong product engineer with 4.8 years of experience. Shipped recommendation/search pipelines using Prompt Engineering, Time Series, pgvector. Stated notice period is 90 days."
CAND_0094056,48,0.7729,"Competent NLP Engineer with 5.9 years of experience. Demonstrated production depth in MLflow, Pinecone, Milvus and strong engagement signals on the platform."
CAND_0007460,49,0.7697,"Senior specialist with 4.7 years in applied ML. Experienced with LangChain, PEFT, Embeddings and evaluation frameworks. Ready for Noida/Pune hybrid setup."
CAND_0073620,50,0.7695,"Strong product engineer with 4.4 years of experience. Shipped recommendation/search pipelines using TTS, ASR, LoRA. Stated notice period is 90 days."
CAND_0003841,51,0.7675,"Applied Engineer with 5.0 years of experience. Good technical background in Pinecone, Object Detection, Weights & Biases, with some adjacent experience in ranking systems."
CAND_0062247,52,0.7673,"AI engineer with 7.3 years of experience. Solid coding in Python and experience with Image Classification, Pinecone, Vector Search, matching our core requirements."
CAND_0003977,53,0.7628,"Software engineer with 4.6 years of experience and solid Learning to Rank, NLP, Embeddings skills. Showing consistent platform activity and willingness to relocate."
CAND_0010149,54,0.7617,"Applied Engineer with 6.9 years of experience. Good technical background in Computer Vision, Milvus, Vector Search, with some adjacent experience in ranking systems."
CAND_0037160,55,0.7599,"AI engineer with 6.0 years of experience. Solid coding in Python and experience with TTS, LLMs, Weaviate, matching our core requirements."
CAND_0064904,56,0.7592,"Software engineer with 4.9 years of experience and solid Embeddings, Hugging Face Transformers, Elasticsearch skills. Showing consistent platform activity and willingness to relocate."
CAND_0089947,57,0.7592,"Applied Engineer with 5.4 years of experience. Good technical background in CNN, Vector Search, Elasticsearch, with some adjacent experience in ranking systems."
CAND_0007052,58,0.7588,"AI engineer with 6.5 years of experience. Solid coding in Python and experience with Data Science, RAG, Statistical Modeling, matching our core requirements."
CAND_0008978,59,0.7548,"Software engineer with 6.7 years of experience and solid Embeddings, Feature Engineering, NLP skills. Showing consistent platform activity and willingness to relocate."
CAND_0047542,60,0.7545,"Applied Engineer with 5.0 years of experience. Good technical background in Learning to Rank, Weaviate, ASR, with some adjacent experience in ranking systems."
CAND_0004402,61,0.7536,"AI engineer with 6.0 years of experience. Solid coding in Python and experience with TTS, Speech Recognition, PEFT, matching our core requirements."
CAND_0065514,62,0.7536,"Software engineer with 6.6 years of experience and solid LangChain, Pinecone, Elasticsearch skills. Showing consistent platform activity and willingness to relocate."
CAND_0067866,63,0.7535,"Applied Engineer with 6.4 years of experience. Good technical background in Embeddings, pgvector, Elasticsearch, with some adjacent experience in ranking systems."
CAND_0008295,64,0.7526,"AI engineer with 6.5 years of experience. Solid coding in Python and experience with BM25, Python, TTS, matching our core requirements."
CAND_0090584,65,0.7521,"Software engineer with 5.1 years of experience and solid OpenSearch, MLflow, RAG skills. Showing consistent platform activity and willingness to relocate."
CAND_0044855,66,0.7512,"Applied Engineer with 6.6 years of experience. Good technical background in Object Detection, Learning to Rank, Hugging Face Transformers, with some adjacent experience in ranking systems."
CAND_0099269,67,0.7511,"AI engineer with 5.5 years of experience. Solid coding in Python and experience with Elasticsearch, NLP, LLMs, matching our core requirements."
CAND_0042506,68,0.7507,"Software engineer with 4.2 years of experience and solid PEFT, TTS, scikit-learn skills. Showing consistent platform activity and willingness to relocate."
CAND_0068932,69,0.7489,"Applied Engineer with 5.2 years of experience. Good technical background in MLOps, Reinforcement Learning, RAG, with some adjacent experience in ranking systems."
CAND_0018094,70,0.7477,"AI engineer with 5.2 years of experience. Solid coding in Python and experience with Feature Engineering, QLoRA, Forecasting, matching our core requirements."
CAND_0009024,71,0.7476,"Software engineer with 5.2 years of experience and solid YOLO, Qdrant, PEFT skills. Showing consistent platform activity and willingness to relocate."
CAND_0082262,72,0.7476,"Applied Engineer with 5.9 years of experience. Good technical background in Python, QLoRA, Weaviate, with some adjacent experience in ranking systems."
CAND_0030784,73,0.7474,"AI engineer with 4.4 years of experience. Solid coding in Python and experience with Embeddings, Python, QLoRA, matching our core requirements."
CAND_0067041,74,0.7466,"Software engineer with 6.9 years of experience and solid Milvus, YOLO, Image Classification skills. Showing consistent platform activity and willingness to relocate."
CAND_0069232,75,0.7454,"Applied Engineer with 6.3 years of experience. Good technical background in Statistical Modeling, NLP, Speech Recognition, with some adjacent experience in ranking systems."
CAND_0074225,76,0.7453,"AI engineer with 4.3 years of experience. Solid coding in Python and experience with Recommendation Systems, Semantic Search, ASR, matching our core requirements."
CAND_0009837,77,0.7446,"Software engineer with 4.3 years of experience and solid scikit-learn, LangChain, TensorFlow skills. Showing consistent platform activity and willingness to relocate."
CAND_0038368,78,0.7444,"Applied Engineer with 5.4 years of experience. Good technical background in YOLO, Embeddings, BM25, with some adjacent experience in ranking systems."
CAND_0010257,79,0.7443,"AI engineer with 6.5 years of experience. Solid coding in Python and experience with Milvus, TensorFlow, MLflow, matching our core requirements."
CAND_0007596,80,0.7437,"Software engineer with 4.4 years of experience and solid YOLO, scikit-learn, OpenCV skills. Showing consistent platform activity and willingness to relocate."
CAND_0058575,81,0.7436,"Backend engineer with 5.8 years of experience and adjacent ML skills in MLOps, Machine Learning, LlamaIndex. Included as final filler given high engagement metrics."
CAND_0092278,82,0.7436,"Software developer with 6.8 years of experience. Solid background in TensorFlow, Machine Learning, Hugging Face Transformers, though lacking direct large-scale vector search production history."
CAND_0015967,83,0.7421,"Adjacent profile with 5.4 years of experience. Demonstrates solid competency in YOLO, Object Detection, ASR and strong availability signals."
CAND_0025882,84,0.7421,"Backend engineer with 5.6 years of experience and adjacent ML skills in MLflow, FAISS, LoRA. Included as final filler given high engagement metrics."
CAND_0010541,85,0.742,"Software developer with 6.2 years of experience. Solid background in Pinecone, Weaviate, Computer Vision, though lacking direct large-scale vector search production history."
CAND_0064270,86,0.7405,"Adjacent profile with 4.2 years of experience. Demonstrates solid competency in LlamaIndex, PyTorch, Learning to Rank and strong availability signals."
CAND_0018701,87,0.7402,"Backend engineer with 6.0 years of experience and adjacent ML skills in Elasticsearch, MLflow, Information Retrieval. Included as final filler given high engagement metrics."
CAND_0005311,88,0.7398,"Software developer with 5.7 years of experience. Solid background in LoRA, Feature Engineering, BentoML, though lacking direct large-scale vector search production history."
CAND_0081053,89,0.7393,"Adjacent profile with 5.4 years of experience. Demonstrates solid competency in LoRA, QLoRA, Qdrant and strong availability signals."
CAND_0052169,90,0.7392,"Backend engineer with 4.1 years of experience and adjacent ML skills in Speech Recognition, Semantic Search, Embeddings. Included as final filler given high engagement metrics."
CAND_0028422,91,0.7391,"Software developer with 5.5 years of experience. Solid background in Pinecone, MLflow, Prompt Engineering, though lacking direct large-scale vector search production history."
CAND_0073007,92,0.7389,"Adjacent profile with 5.8 years of experience. Demonstrates solid competency in Embeddings, Speech Recognition, Statistical Modeling and strong availability signals."
CAND_0017093,93,0.7387,"Backend engineer with 5.9 years of experience and adjacent ML skills in Data Science, Embeddings, CNN. Included as final filler given high engagement metrics."
CAND_0054394,94,0.7381,"Software developer with 4.1 years of experience. Solid background in Prompt Engineering, MLflow, Time Series, though lacking direct large-scale vector search production history."
CAND_0010603,95,0.7376,"Adjacent profile with 5.3 years of experience. Demonstrates solid competency in OpenSearch, Image Classification, Deep Learning and strong availability signals."
CAND_0087630,96,0.737,"Backend engineer with 7.2 years of experience and adjacent ML skills in Data Science, ASR, Elasticsearch. Included as final filler given high engagement metrics."
CAND_0098288,97,0.7362,"Software developer with 6.7 years of experience. Solid background in Time Series, Statistical Modeling, Learning to Rank, though lacking direct large-scale vector search production history."
CAND_0075574,98,0.736,"Adjacent profile with 5.7 years of experience. Demonstrates solid competency in Hugging Face Transformers, pgvector, Weaviate and strong availability signals."
CAND_0070653,99,0.7359,"Backend engineer with 5.0 years of experience and adjacent ML skills in CNN, MLOps, PyTorch. Included as final filler given high engagement metrics."
CAND_0005509,100,0.7356,"Software developer with 6.0 years of experience. Solid background in GANs, Feature Engineering, Qdrant, though lacking direct large-scale vector search production history."
